time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/1/1 00:00,64,64,59,51,53,53,53,64,74,78,68,72,67,51,51,57,67,74,78,82,74,80,80,67,51,68,74,75,82,82,68,76,80,77,87,76,71,78,82,82,68,72,79,78,81,80,93,84,84,82,68,68,78,78,76,75,72,90,90,86,60,60,68,73,75,70,65,76,90,90,60,60,63,66,66,65,65,65,77,90,64,64,65,66,66,66,65,65,65,77,69,69,66,66,66,66,66,65,65,65
2018/1/1 01:00,64,64,58,56,67,67,67,69,72,79,68,73,67,48,54,63,70,72,80,87,78,82,82,67,48,66,72,75,87,87,75,79,82,78,90,74,71,78,87,87,75,77,79,77,81,76,80,76,82,87,75,75,77,77,74,73,70,74,74,79,65,65,71,72,73,68,64,69,74,74,65,65,65,67,67,65,64,64,69,74,65,65,66,67,67,67,65,64,64,69,66,66,66,67,67,67,67,65,64,64
2018/1/1 02:00,65,65,59,49,52,52,52,62,72,80,68,72,66,48,49,56,65,72,81,89,78,79,79,65,48,66,72,76,89,89,77,78,79,76,87,73,71,78,89,89,77,77,77,76,79,76,78,76,84,89,77,77,76,76,74,73,72,74,74,80,65,65,70,71,73,69,65,70,74,74,65,65,65,66,66,65,65,65,69,74,64,64,65,66,66,66,65,65,65,69,64,64,65,66,66,66,66,65,65,65
2018/1/1 03:00,70,70,61,49,54,54,54,63,71,78,71,73,64,45,48,56,65,71,79,86,73,76,76,63,45,64,71,74,86,86,71,74,76,73,86,72,70,76,86,86,71,72,74,72,77,74,76,75,82,86,71,71,72,72,72,72,72,74,74,79,65,65,68,70,72,69,65,70,74,74,65,65,65,67,67,66,65,65,69,74,62,62,64,67,67,67,66,65,65,69,60,60,63,67,67,67,67,65,65,65
2018/1/1 04:00,71,71,61,48,55,55,55,62,69,78,70,70,60,43,47,55,64,69,79,88,68,70,70,59,43,62,69,73,88,88,67,69,70,68,81,69,69,76,88,88,67,68,68,66,72,72,77,74,82,88,67,67,66,66,66,67,67,70,70,78,65,65,65,65,67,65,64,67,70,70,65,65,64,64,64,64,64,64,67,70,62,62,63,64,64,64,64,64,64,67,59,59,62,64,64,64,64,64,64,64
2018/1/1 05:00,73,73,63,51,62,62,62,63,65,75,72,71,60,43,49,58,64,65,75,85,68,69,69,58,43,59,65,70,85,85,67,68,69,66,77,66,66,72,85,85,67,67,66,64,68,67,70,69,79,85,67,67,64,64,62,62,62,67,67,75,64,64,64,63,62,60,59,62,67,67,64,64,63,64,64,61,59,59,62,67,62,62,63,64,64,64,61,59,59,62,61,61,62,64,64,64,64,61,59,59
2018/1/1 06:00,72,72,62,47,54,54,54,58,63,71,71,70,60,42,46,53,60,63,72,80,68,69,69,57,42,58,63,67,80,80,67,68,69,66,77,65,65,70,80,80,67,67,66,64,68,67,69,69,75,80,67,67,64,64,62,62,64,66,66,72,64,64,64,62,62,60,59,62,66,66,64,64,62,62,62,60,59,59,62,66,62,62,62,62,62,62,60,59,59,62,61,61,61,62,62,62,62,60,59,59
2018/1/1 07:00,74,74,63,47,52,52,52,58,65,74,72,71,60,43,46,53,60,65,74,83,68,69,69,57,43,59,65,69,83,83,68,68,69,74,73,65,65,72,83,83,68,68,83,97,80,68,73,72,78,83,68,68,97,97,74,63,66,70,70,75,67,67,78,76,63,61,60,65,70,70,67,67,65,66,66,63,60,60,65,70,62,62,64,66,66,66,63,60,60,65,58,58,62,66,66,66,66,62,60,60
2018/1/1 08:00,83,83,71,53,61,61,61,67,73,78,82,82,69,47,51,60,69,73,78,84,77,82,82,65,47,66,73,75,84,84,72,78,82,80,85,72,71,76,84,84,72,75,87,92,83,71,73,71,78,84,72,72,92,92,74,65,67,67,67,74,62,62,75,76,65,63,61,64,67,67,62,62,64,68,68,64,61,61,64,67,64,64,66,68,68,68,64,61,61,64,66,66,66,68,68,68,68,63,61,61
